Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nicaragua,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667,1919.0,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667,747.0,1527.0,1397.6666666666667,1397.6666666666667,1397.6666666666667,1397.6666666666667
North Macedonia,49.0,57.0,39.0,42.0,47.0,33.0,54.0,34.0,39.0,38.0,33.0,40.0,38.92857142857143,38.92857142857143,38.92857142857143,38.92857142857143,38.92857142857143,38.92857142857143,18.0,22.0,38.92857142857143
Norway,31.0,33.0,36.0,25.0,13.0,19.0,23.0,29.0,22.0,27.0,27.0,25.526315789473685,25.0,26.0,31.0,24.0,22.0,23.0,27.0,22.0,25.526315789473685
Panama,290.0,263.0,272.0,233.0,269.0,231.0,215.0,159.0,67.0,64.0,167.64705882352942,16.0,11.0,55.0,85.0,167.64705882352942,154.0,167.64705882352942,204.0,262.0,167.64705882352942
Paraguay,370.875,370.875,370.875,534.0,580.0,632.0,586.0,544.0,683.0,232.0,284.0,331.0,370.875,270.0,356.0,289.0,168.0,204.0,122.0,119.0,370.875
Peru,724.125,724.125,724.125,724.125,505.0,603.0,595.0,780.0,767.0,743.0,768.0,707.0,668.0,838.0,222.0,1015.0,920.0,313.0,921.0,1221.0,724.125
Philippines,70.5,70.5,69.0,72.0,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5
Poland,401.0,527.0,455.0,374.0,269.0,345.0,344.0,359.0,351.0,349.0,325.0,257.0,248.0,257.0,210.0,173.0,335.0,164.0,319.05555555555554,319.05555555555554,319.05555555555554
Portugal,170.0,156.0,149.0,166.0,151.0,121.0,160.0,120.0,138.0,135.0,130.0,116.57894736842105,100.0,92.0,63.0,78.0,62.0,78.0,75.0,71.0,116.57894736842105
Puerto Rico,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0
Republic of Korea,652.8235294117648,652.8235294117648,652.8235294117648,641.0,757.0,739.0,836.0,773.0,766.0,671.0,642.0,691.0,651.0,692.0,565.0,604.0,543.0,538.0,487.0,502.0,652.8235294117648
Republic of Moldova,263.0,244.0,274.0,280.0,205.0,172.0,192.0,175.0,170.0,212.1,212.1,146.0,212.1,212.1,212.1,212.1,212.1,212.1,212.1,212.1,212.1
Romania,1471.0,1216.0,1067.0,845.0,763.0,715.0,767.0,883.0,986.0,802.0,828.0,872.0,834.0,900.0,781.0,686.0,735.0,575.0,522.0,573.0,841.05
Russian Federation,11872.0,18518.0,18230.0,16134.0,14535.0,12919.0,12083.0,11104.0,10740.0,8621.0,8418.0,8271.0,7950.0,14109.0,12143.0,10783.0,9512.0,7754.0,11872.0,11872.0,11872.0
Saint Kitts and Nevis,3.3636363636363638,9.0,2.0,0.0,8.0,3.0,6.0,3.3636363636363638,2.0,3.3636363636363638,3.3636363636363638,3.3636363636363638,3.3636363636363638,3.3636363636363638,3.3636363636363638,3.3636363636363638,4.0,2.0,0.0,1.0,3.3636363636363638
Saint Lucia,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,4.0,4.0,3.0,2.0,3.25
Saint Vincent and the Grenadines,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
