Country,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,3.43264587647017,3.3898092417828836,3.574407149754802,3.4605131633022514,3.542348846399271,3.579525024020245,3.499020614287346,3.9495195079012575,3.9821165714891906
Dominican Republic,2.5768920431996034,2.5413003630505147,2.7151923606677855,2.539942193229179,2.6318559124070013,2.7475503516262174,2.740597118144301,2.421358933521805,2.5852855870030895
Ecuador,2.58576083955776,2.6149938280917175,2.6664100894622442,2.7145808801549465,2.709945222381711,2.764124758804662,2.8391507108591374,2.852438468475985,2.5705543399731803
Egypt,3.575126593038724,3.747323393726794,3.3558220337331175,3.286386104107664,3.253727041183934,3.2728534793595063,3.3073084333022598,3.445176229840177,3.399218984820208
Estonia,4.312211207842209,4.088472392438296,4.079998797532293,4.223144348504384,4.275098263261605,4.280205154114679,4.322103733089283,4.022079600196211,4.243119684496297
Finland,3.8153126169361222,3.9723064412062437,3.9923462755049357,3.9145696905801555,3.9802200196844133,3.7078931671251496,3.920024237327444,3.915275027924287,3.9987141648798774
France,3.539225496860575,3.6343221003225783,3.431210590926651,3.58888814198277,3.6658152089191365,3.4030422022967644,3.420679074393646,3.441811391241745,3.418078823697206
Georgia,4.2808854388850035,3.6579156934759673,4.046623554986625,4.124951600423197,4.173615604988812,4.08361913284952,4.065706041885217,3.900296867292741,3.8390384926175694
Germany,3.2935231484747964,3.441206407695851,3.3380969694210263,3.169022905576664,3.2552336232371983,3.1643447523659525,3.3597123668065043,3.262983564281326,3.143164841438507
Greece,3.7917097421319963,4.05696762307795,3.9242639806960296,4.01659490405985,3.927328276558858,4.0088133530356505,4.010106463806368,4.011853102102009,3.966156060068789
Guatemala,2.3027080410880107,2.2683808238682195,2.144853354629989,2.4462904146109308,2.5432268643925804,2.596061428410887,2.75634940475632,2.8473174191463246,2.6781765604318526
Honduras,1.6616651729849594,1.6641355841412608,1.451768415262582,1.3135852596161226,1.3745775957841961,1.4143218350479194,1.4588764775007954,1.433608312718726,1.4486393648021458
Hungary,3.042762127483711,3.197332332606691,2.830537639921238,3.152246605104626,2.911593072594466,3.302971361311723,3.306066137611955,2.906877982800186,2.8940232971029456
India,3.0323813625610327,3.1802502930813,3.0926145554694924,3.1393521379132583,3.2630660900707285,3.191675373572027,3.273044274321614,3.1889098561523275,2.995241811829967
Indonesia,2.609561298224663,2.8503059140333646,2.8241084374326944,2.7632178573581276,2.7802738028485896,2.860187768541116,2.8797949847558058,2.8906018858553617,2.797583495677414
Ireland,2.464231564498967,2.3518605628924436,2.784645921430209,2.696772681516385,2.6422544050849233,2.602424235512308,2.5925337056694606,2.696704004501369,2.9378477210249425
Israel,4.3226452422232216,4.547756966462557,4.496022664695013,4.466408943109977,4.470295075649937,4.407776650233629,4.560324860150896,4.592093475285039,4.379692127423022
Italy,3.3763967761817173,3.5536763572567507,3.4547202186057047,3.4930786315469238,3.517807833988809,3.591398170438827,3.5403252052989416,3.5862514544767237,3.5901577714004556
Japan,3.302802771004912,3.393787149771131,3.7282181548937348,3.3332975109961134,3.6741744258947917,3.7451820620491167,3.7584255120446333,3.1662075378542096,3.2855637070701826
Kazakhstan,3.0364559031441187,3.251876418515033,3.0148221932662427,3.072459370150736,3.0166224605633456,3.019048690149705,2.3986127173333562,2.80547161532579,3.1161337769805764
Kenya,2.8457373861999624,2.596464013407352,2.6331478877838217,2.6300951407867963,2.6732265630658993,2.999872529162759,3.0750475548136134,2.8085573487900337,2.5204838072009332
Latvia,3.3683931263854934,3.424688991745222,3.4273127749283097,3.5809398885070842,3.5887175639702624,3.6613368059712474,3.667671165417288,3.7185811429031266,3.670498225246282
Lithuania,3.687974135209476,3.8856269439757964,3.703268251847662,3.751230398593405,3.905093961852465,3.9312776348800798,3.9727397173431793,3.7062641088479475,4.081869611531511
Malaysia,2.0975609981139107,2.420801800930844,2.296033472670694,2.295221577450351,2.4172620301481804,2.4797934225559235,2.6346478142222365,2.8476904685584485,2.791708292879812
Mexico,2.5710675423970484,2.601548511428505,2.4674138705519217,2.325085838422006,2.4655212823565025,2.472768120632585,2.6241412738291707,2.693210522970304,2.6135799562293993
Mongolia,3.5221457833135217,2.903656622562438,2.767613512809603,3.1396789719742273,2.9093085818863704,2.866090908553855,2.9642475312553405,3.106463154539912,3.0868249486717545
Montenegro,3.7640610518670563,3.6713004081951492,3.6898240284686206,2.8879368321566874,3.4432119730270885,3.095703930781948,3.0589878538918294,3.2615487528774945,3.3269198148211085
Nepal,2.9795740492073466,2.8645229862218686,2.871933203419859,2.96791185195268,3.035653026488904,2.969749005951858,3.066652348946358,3.0575176305603318,2.925198837935844
New Zealand,3.199712736932474,3.457040209208341,3.1702238362058983,3.1878704390573533,3.058169438350475,2.9169656116320497,2.7823936401820104,3.100503666995368,3.0587470443189715
